id,d_zone,district_name,area,public_place,private,official_place,temple_area,state_enterprise,elsewhere,overpass,bus_stop,park,shelter,vacant_land,commerce_building,entertainment_place,bridge,street,bridgesandroads,footpath,alley,village,tourist_attraction,academy,government,intersection,pier,promenade,footpathandalley,gardens_bridges,skytrain_station,tunnelundertheroad,sports_center,transport_station,religious_place,other_area,lonely_night,lone_day,blind_spot,desolate,dirty,old_building,damaged_light,obstructing_traffic,homeless,mingling_source,mayhem,extortion,accident_r,accident_f,accident_e,accident_s,accident_t,accident_o,harass,chaotically,danger_animals,landmark,other_risk,surveillance,clean,tree_pruning,adjust_landscape,demolish,check_cctv,install_cctv,repair_cctv,install_light,repair_light,warning_label,coordinate_police,traffic_officer,related_agencies,safety_equipment,d_data,adddate,updatedate
32,กรุงเทพตะวันออก,มีนบุรี,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,4,0,0,0,0,4,0,0,0,0,0,6/8/2020,6/8/2020
31,กรุงเทพตะวันออก,ประเวศ,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/8/2020,6/8/2020
30,กรุงเทพตะวันออก,บึงกุ่ม,8,8,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,1,0,0,5,0,1,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/8/2020,6/8/2020
29,กรุงเทพตะวันออก,บางกะปิ,16,7,8,1,0,0,0,0,0,2,0,0,8,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,1,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/8/2020,6/8/2020
28,กรุงเทพตะวันออก,คันนายาว,8,8,0,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,8,0,4,3,0,5,1,0,0,6,6,0,0,0,0,0,6/8/2020,6/8/2020
27,กรุงเทพตะวันออก,คลองสามวา,3,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,0,0,0,1,1,0,0,0,0,0,6/8/2020,6/8/2020
26,กรุงเทพกลาง,ห้วยขวาง,15,10,3,2,0,0,0,2,1,1,0,1,0,1,0,2,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,13,1,1,1,0,0,0,0,2,2,0,5,1,0,0,0,0,1,1,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,6/8/2020,6/8/2020
25,กรุงเทพกลาง,สัมพันธวงศ์,7,7,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/8/2020,6/8/2020
24,กรุงเทพกลาง,วังทองหลาง,14,14,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,12,6,3,2,1,3,0,0,2,2,2,1,2,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,13,0,13,0,13,13,0,1,0,0,0,6/8/2020,6/8/2020
23,กรุงเทพกลาง,ราชเทวี,8,8,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/8/2020,6/8/2020
