type,coords,ticket_id,organization,comment photo,photo_after,address,subdistrict,district,province,timestamp,state,star,count_reopen,last_activity
Point,"[100.63584, 13.6801]",CZNUP3,"ร้องทุกข์ กทม. 1555, กรุงเทพมหานคร, เขตพระโขนง, ศูนย์ควบคุมระบบป้องกันน้ำท่วม กทม.",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/bd307e86ce3747b27b230fa8c35bddf3.jpg,,9 ซอย ประวิทย์และเพื่อน 3 แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260 ประเทศไทย,บางจาก,พระโขนง,จังหวัดกรุงเทพมหานคร,2025-05-05 18:27:01,ส่งต่อ(ใหม่),,0,2025-05-05 18:27:01
Point,"[100.60999, 13.70092]",2025-4BP6YB,"กรุงเทพมหานคร, เขตพระโขนง",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/86d302ece920bbbb212a27bae795dec9.jpg,,227 ซอย สุขุมวิท 93 แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260 ประเทศไทย,บางจาก,พระโขนง,กรุงเทพมหานคร,2025-05-05 18:26:59,รอรับเรื่อง,,0,2025-05-05 18:26:59
Point,"[100.52615, 13.79494]",2025-8LTH9W,"กรุงเทพมหานคร, เขตดุสิต, สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส. กทม.)",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/1d5450b5cfc4a47abcc6d6cd63d919e9.jpg,,1158 ถนน ทหาร แขวงถนนนครไชยศรี เขตดุสิต กรุงเทพมหานคร 10300 ประเทศไทย,ถนนนครไชยศรี,ดุสิต,กรุงเทพมหานคร,2025-05-05 18:26:34,ส่งต่อ(ใหม่),,0,2025-05-05 18:26:34
Point,"[100.48672, 13.77916]",2025-FUD4UB,"กรุงเทพมหานคร, เขตบางพลัด",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/d73282b563371bddd12cbafb4120610a.jpg,,339 ถ. จรัญสนิทวงศ์ แขวงบางบำหรุ บางพลัด กรุงเทพมหานคร 10700 ประเทศไทย,บางบำหรุ,บางพลัด,กรุงเทพมหานคร,2025-05-05 18:26:06,กำลังดำเนินการ,,0,2025-05-05 18:26:06
Point,"[100.51565, 13.73608]",2025-JMAJU3,"กรุงเทพมหานคร, เขตสัมพันธวงศ์",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/3194e6c134514949763713de6b594157.jpg,,88/1 ซอย โชฏึก แขวงตลาดน้อย เขตสัมพันธวงศ์ กรุงเทพมหานคร 10100 ประเทศไทย,ตลาดน้อย,สัมพันธวงศ์,จังหวัดกรุงเทพมหานคร,2025-05-05 18:25:34,รอรับเรื่อง,,0,2025-05-05 18:25:34
Point,"[100.50892, 13.75173]",2025-U7P2UK,"กรุงเทพมหานคร, เขตป้อมปราบศัตรูพ่าย",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/fb5cb089a84f02d10d0449675153400c.jpg,,378 ถ. บำรุงเมือง แขวงวัดเทพศิรินทร์ เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100 ประเทศไทย,วัดเทพศิรินทร์,ป้อมปราบศัตรูพ่าย,จังหวัดกรุงเทพมหานคร,2025-05-05 18:25:10,รอรับเรื่อง,,0,2025-05-05 18:25:10
Point,"[100.48661, 13.77893]",2025-27YBLF,"กรุงเทพมหานคร, เขตบางพลัด",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/a7f5512752dee74d559add63a3a43fd9.jpg,,QFHP+GMM ถ. จรัญสนิทวงศ์ แขวงบางยี่ขัน บางพลัด กรุงเทพมหานคร 10700 ประเทศไทย,บางยี่ขัน,บางพลัด,จังหวัดกรุงเทพมหานคร,2025-05-05 18:24:34,กำลังดำเนินการ,,0,2025-05-05 18:24:34
Point,"[100.52923, 13.72451]",2025-UHHU8Z,"กรุงเทพมหานคร, เขตบางรัก, ฝ่ายเทศกิจ เขตบางรัก",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/08fdd2d4e19e0193d51f0806627b289f.jpg,,156 ถนน นราธิวาสราชนครินทร์ แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500 ประเทศไทย,สีลม,บางรัก,จังหวัดกรุงเทพมหานคร,2025-05-05 18:24:26,กำลังดำเนินการ,,0,2025-05-05 18:24:26
Point,"[100.39499, 13.76282]",2025-XBPR6W,"กรุงเทพมหานคร, เขตทวีวัฒนา, ฝ่ายเทศกิจ เขตทวีวัฒนา",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/f4a3e3fbfb505bc3406ec228417a6919.jpg,,77/93 ถ. พุทธมณฑลสาย 2 แขวงทวีวัฒนา เขตทวีวัฒนา กรุงเทพมหานคร 10170 ประเทศไทย,ทวีวัฒนา,ทวีวัฒนา,จังหวัดกรุงเทพมหานคร,2025-05-05 18:22:35,กำลังดำเนินการ,,0,2025-05-05 18:22:35
Point,"[100.39499, 13.76282]",2025-NPUNJY,"กรุงเทพมหานคร, เขตทวีวัฒนา, ฝ่ายเทศกิจ เขตทวีวัฒนา",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/8bf9a3fe33e287f08c114dc27a9441cf.jpg,,77/93 ถ. พุทธมณฑลสาย 2 แขวงทวีวัฒนา เขตทวีวัฒนา กรุงเทพมหานคร 10170 ประเทศไทย,ทวีวัฒนา,ทวีวัฒนา,จังหวัดกรุงเทพมหานคร,2025-05-05 18:22:35,กำลังดำเนินการ,,0,2025-05-05 18:22:35
Point,"[100.56601, 13.76062]",2025-9BGFUP,"กรุงเทพมหานคร, เขตดินแดง",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/ca9b5c076723af2291e9f6744cdee05e.jpg,,QH68+69G ถ. รัชดาภิเษก แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400 ประเทศไทย,ดินแดง,ดินแดง,จังหวัดกรุงเทพมหานคร,2025-05-05 18:20:17,รอรับเรื่อง,,0,2025-05-05 18:20:17
Point,"[100.7808, 13.72052]",2025-NVM66W,"กรุงเทพมหานคร, สำนักสิ่งแวดล้อม กทม., เขตลาดกระบัง",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/735ee55fc8336ef6ccfb3734c5add77f.jpg,,6/5 ซ. ลาดกระบัง 50 แขวงลาดกระบัง เขตลาดกระบัง กรุงเทพมหานคร 10520 ประเทศไทย,ลาดกระบัง,ลาดกระบัง,จังหวัดกรุงเทพมหานคร,2025-05-05 18:18:48,ส่งต่อ(ใหม่),,0,2025-05-05 18:18:48
Point,"[100.53034, 13.7222]",2025-X6EJ2X,"กรุงเทพมหานคร, เขตบางรัก, ฝ่ายเทศกิจ เขตบางรัก",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/44008ea7db16211a5edb77cae6889fd9.jpg,,98 ถ. สาทรเหนือ แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500 ประเทศไทย,สีลม,บางรัก,จังหวัดกรุงเทพมหานคร,2025-05-05 18:18:15,กำลังดำเนินการ,,0,2025-05-05 18:18:15
Point,"[100.42637, 13.68644]",2025-HLL979,"กรุงเทพมหานคร, เขตบางบอน, กองบัญชาการตำรวจนครบาล (บช.น.), สำนักงานตำรวจแห่งชาติ (Royal Thai Police), สน.บางขุนเทียน, กองบังคับการตำรวจนครบาล 9 (บก.น.9)",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/bbeb87db40f8fea730f9140875e3a0d8.jpg,,49/25 เอกชัย แขวงคลองบางพราน เขตบางบอน กรุงเทพมหานคร 10150 ประเทศไทย,คลองบางพราน,บางบอน,จังหวัดกรุงเทพมหานคร,2025-05-05 18:17:15,ส่งต่อ(ใหม่),,0,2025-05-05 18:17:15
Point,"[100.53395, 13.80629]",2025-KP462J,"กรุงเทพมหานคร, เขตบางซื่อ, ฝ่ายสิ่งแวดล้อมฯ เขตบางซื่อ",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/53c6d0ac7a080e6eddb66998d672a50a.jpg,,829 ถนนประชาราฎร์ 2 แขวงบางซื่อ บางซื่อ กรุงเทพมหานคร 10800 ประเทศไทย,บางซื่อ,บางซื่อ,จังหวัดกรุงเทพมหานคร,2025-05-05 18:17:09,กำลังดำเนินการ,,0,2025-05-05 18:17:09
Point,"[100.53395, 13.80629]",2025-MHD9AP,"กรุงเทพมหานคร, เขตบางซื่อ",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/af99ecc3777cce59d031d1eccfa84841.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/2e126e0f20891fb6a8e99ce610fe806e.png,829 ถนนประชาราฎร์ 2 แขวงบางซื่อ บางซื่อ กรุงเทพมหานคร 10800 ประเทศไทย,บางซื่อ,บางซื่อ,จังหวัดกรุงเทพมหานคร,2025-05-05 18:17:07,เสร็จสิ้น,,0,2025-05-05 18:17:07
Point,"[100.46926, 13.75504]",2025-28HHCP,"กรุงเทพมหานคร, เขตบางกอกน้อย",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/82b2be8131c3b3ce0feb5e6f4e4c40b1.jpg,,353/82 ถ. จรัญสนิทวงศ์ แขวงบางขุนศรี เขตบางกอกน้อย กรุงเทพมหานคร 10700 ประเทศไทย,บางขุนศรี,บางกอกน้อย,กรุงเทพมหานคร,2025-05-05 18:15:37,รอรับเรื่อง,,0,2025-05-05 18:15:37
Point,"[100.57367, 13.7669]",2025-HMRD3J,"กรุงเทพมหานคร, เขตห้วยขวาง, เขตดินแดง",https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/d046d26cb82abf7216657cc4b52576fb.jpg,,"Thailand Cultural Centre, Watthanatham Road, Huai Khwang, Khet Huai Khwang, Bangkok, 10310, 14 ถนน เทียมร่วมมิตร แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310 ประเทศไทย",ห้วยขวาง,ห้วยขวาง,จังหวัดกรุงเทพมหานคร,2025-05-05 18:15:34,ส่งต่อ(ใหม่),,0,2025-05-05 18:15:34
